"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v71853009","10.1.8","1808.24","","","","2"
"2021","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v71853009","10.1.8","1926.30","","","","2"
"2022","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v71853009","10.1.8","2035.70","","","","2"
"2023","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v71853009","10.1.8","1998.93","","","","2"
"2015","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, adult charged","Number","223","units","0","v71853010","10.1.9","13765","","","","0"
"2016","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, adult charged","Number","223","units","0","v71853010","10.1.9","15001","","","","0"
"2017","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, adult charged","Number","223","units","0","v71853010","10.1.9","15343","","","","0"
"2018","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, adult charged","Number","223","units","0","v71853010","10.1.9","20698","","","","0"
"2019","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, adult charged","Number","223","units","0","v71853010","10.1.9","24479","","","","0"
"2020","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, adult charged","Number","223","units","0","v71853010","10.1.9","20074","","","","0"
"2021","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, adult charged","Number","223","units","0","v71853010","10.1.9","21632","","","","0"
"2022","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, adult charged","Number","223","units","0","v71853010","10.1.9","23393","","","","0"
"2023","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, adult charged","Number","223","units","0","v71853010","10.1.9","24541","","","","0"
"2015","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v71853011","10.1.10","1383.45","","","","2"
"2016","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v71853011","10.1.10","1490.64","","","","2"
"2017","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v71853011","10.1.10","1513.29","","","","2"
"2018","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v71853011","10.1.10","2014.49","","","","2"
"2019","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v71853011","10.1.10","2335.62","","","","2"
"2020","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v71853011","10.1.10","1884.77","","","","2"
"2021","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v71853011","10.1.10","2017.59","","","","2"
"2022","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v71853011","10.1.10","2118.91","","","","2"
"2023","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v71853011","10.1.10","2083.37","","","","2"
"2015","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, youth charged","Number","223","units","0","v71853012","10.1.11","1026","","","","0"
"2016","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, youth charged","Number","223","units","0","v71853012","10.1.11","828","","","","0"
"2017","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, youth charged","Number","223","units","0","v71853012","10.1.11","987","","","","0"
"2018","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, youth charged","Number","223","units","0","v71853012","10.1.11","1255","","","","0"
"2019","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, youth charged","Number","223","units","0","v71853012","10.1.11","1441","","","","0"
"2020","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, youth charged","Number","223","units","0","v71853012","10.1.11","850","","","","0"
"2021","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, youth charged","Number","223","units","0","v71853012","10.1.11","821","","","","0"
"2022","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, youth charged","Number","223","units","0","v71853012","10.1.11","1063","","","","0"
"2023","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, youth charged","Number","223","units","0","v71853012","10.1.11","1054","","","","0"
"2015","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v71853013","10.1.12","1249.91","","","","2"
"2016","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v71853013","10.1.12","990.64","","","","2"
"2017","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v71853013","10.1.12","1169.13","","","","2"
"2018","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v71853013","10.1.12","1459.13","","","","2"
"2019","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v71853013","10.1.12","1624.74","","","","2"
"2020","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v71853013","10.1.12","923.04","","","","2"
"2021","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v71853013","10.1.12","878.71","","","","2"
"2022","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v71853013","10.1.12","1092.03","","","","2"
"2023","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v71853013","10.1.12","1028.45","","","","2"
"2015","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v71853014","10.1.13","943","","","","0"
"2016","Calgary, Alberta, municipal [48014]","2021A002548014","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v71853014","10.1.13","823","","","","0"
