"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v66991388","158.1.13","80","","","","0"
"2015","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v66991389","158.1.14","3534.18","","","","2"
"2016","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v66991389","158.1.14","3544.67","","","","2"
"2017","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v66991389","158.1.14","3658.20","","","","2"
"2018","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v66991389","158.1.14","1776.93","","","","2"
"2019","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v66991389","158.1.14","2433.02","","","","2"
"2020","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v66991389","158.1.14","2093.09","","","","2"
"2021","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v66991389","158.1.14","1893.10","","","","2"
"2022","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v66991389","158.1.14","1701.91","","","","2"
"2023","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v66991389","158.1.14","1932.83","","","","2"


