,,"Incident-Based Crime Statistics (rate per 100,000)",,,,
Alberta,"Cocaine, production",0.08,0.08,0.24,0.16,0.08
Alberta,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",13.59,17.1,19.07,16.2,17.37
Alberta,"Heroin, trafficking",0.22,0.14,0.19,0.74,1.29
Alberta,"Other Controlled Drugs and Substances Act, trafficking",12.19,12.77,12.33,10.48,11.15
Alberta,"Methamphetamines (crystal meth), trafficking",0.33,1.2,2.26,2.73,3.23
Alberta,"Methylenedioxyamphetamine (ecstasy), trafficking",0.25,1.09,2.04,0.98,0.62
Alberta,"Heroin, importation and exportation",0,0.03,0.05,0.03,0.1
Alberta,"Other Controlled Drugs and Substances Act, importation and exportation",0.56,1.39,1.34,0.64,0.72
Alberta,"Methamphetamines (crystal meth), importation and exportation",0,0,0.03,0.03,0.03
Alberta,"Methylenedioxyamphetamine (ecstasy), importation and exportation",0,0.03,0.05,0,0
Alberta,"Heroin, production",,,0,0,0
Alberta,"Other Controlled Drugs and Substances Act, production",0.03,0.44,0.59,0.37,0.13
Alberta,"Methamphetamines (crystal meth), production",0,0.03,0.16,0.21,0.1
Alberta,"Methylenedioxyamphetamine (ecstasy), production",,,0.03,0,0
Alberta,"Precursor or equipment (crystal meth, ecstasy) (44)",0,0,0,0,0.05
Alberta,Youth Criminal Justice Act,24.14,28.75,32.06,30.7,28.58
Alberta,Total other Federal Statutes,54.51,44.03,48.55,38.41,40.01
Alberta,Bankruptcy Act,0.06,0.03,0.05,0.13,0.13
Alberta,Income Tax Act,0.11,0,0.13,0.05,0.03
Alberta,Canada Shipping Act,1.42,0.68,0.4,0.79,0.75
Alberta,Canada Health Act,0.03,0.11,0.03,0.11,0.05
Alberta,Customs Act,0.92,1.06,1.1,1.14,0.9
Alberta,Competition Act,0,0.03,0,0,0
Alberta,Excise Act,1.09,1.96,1.07,0.56,0.54
Alberta,Total Immigration and Refugee Protection Act (46),0.81,0.79,0.89,0.74,0.59
Alberta,Firearms Act,5.6,6.64,6.42,6.14,6.76
Alberta,National Defense Act,0,0,0,0,0
Alberta,Other federal statutes,44.49,32.73,38.46,28.74,30.25
"British Columbia (28,41,49)","Total, all violations",10799.1,10181.28,9676.5,9150.14,8872.07
"British Columbia (28,41,49)","Total, all Criminal Code violations (including traffic)",10013.02,9472.97,8904.21,8387.71,8116.45
"British Columbia (28,41,49)","Total, all Criminal Code violations (excluding traffic)",9579.48,8988.74,8452.51,7895.84,7727.13
"British Columbia (28,41,49)",Total violent Criminal Code violations (16),1685.35,1670.35,1570.57,1462.38,1382.02
"British Columbia (28,41,49)","Homicide (17,24)",2.67,2.65,1.83,1.9,1.54
"British Columbia (28,41,49)",Total other violations causing death,0.25,0.36,0.46,0.24,0.22
"British Columbia (28,41,49)",Attempted murder,2.3,2.56,1.68,1.73,1.8
"British Columbia (28,41,49)","Sexual assault, level 3, aggravated",0.34,0.43,1.08,0.37,0.19
"British Columbia (28,41,49)","Sexual assault, level 2, weapon or bodily harm",1.25,1.21,1.3,1.09,0.87
"British Columbia (28,41,49)","Sexual assault, level 1",57.64,57.33,61.07,57.93,55.06
"British Columbia (28,41,49)",Total sexual violations against children (26),10.36,11.91,14.86,15.97,14.8
"British Columbia (28,41,49)","Assault, level 3, aggravated",9.65,9.24,9.87,9.72,8.26
"British Columbia (28,41,49)","Assault, level 2, weapon or bodily harm",212.83,196.48,188.21,173.03,168.76
"British Columbia (28,41,49)","Assault, level 1",674.95,671.7,612.65,586.51,551.16
"British Columbia (28,41,49)","Total assaults against a peace officer (25,35)",25.71,30.27,38.15,29.5,28.92
"British Columbia (28,41,49)",Total other assaults,18.36,8.9,7.42,5.18,5.17
"British Columbia (28,41,49)","Total firearms; use of, discharge, pointing",5.91,6.03,5.78,4.59,5.11
"British Columbia (28,41,49)",Total robbery (18),123.46,115.16,108.2,98.15,97.52
"British Columbia (28,41,49)",Total forcible confinement or kidnapping (34),10.2,9.96,7.51,7.08,6.3
"British Columbia (28,41,49)",Total abduction,1.6,1.66,1.26,1.73,1.17
"British Columbia (28,41,49)",Extortion,6.16,8.32,6.91,6.95,6.42
"British Columbia (28,41,49)",Criminal harassment (36),37.63,47.98,56.03,55.54,56.29
"British Columbia (28,41,49)",Uttering threats,354.33,347.47,316.33,285.52,266.28
"British Columbia (28,41,49)",Threatening or harassing phone calls,121.98,133.14,120.08,109.49,96.66
"British Columbia (28,41,49)",Total other violent violations,7.78,7.6,9.89,10.16,9.54
"British Columbia (28,41,49)",Total property crime violations,6092.95,5531.33,5119.25,4695.96,4710.95
"British Columbia (28,41,49)",Total breaking and entering,884.75,754.19,692.5,649.04,649.59
"British Columbia (28,41,49)","Total possession of stolen property (42,46)",96.5,93.93,84.23,64.55,57.82
"British Columbia (28,41,49)","Total trafficking in stolen property (42,43,46)",0,0,0,0.74,0.74
"British Columbia (28,41,49)",Total theft of motor vehicle (46),518.62,438.37,352.49,287.79,272.23
"British Columbia (28,41,49)","Total theft over $5,000 (non-motor vehicle)",69.66,60.09,56.54,53.49,54.52
"British Columbia (28,41,49)","Total theft under $5,000 (non-motor vehicle)",2615.26,2472.19,2348.47,2193.28,2285.26
"British Columbia (28,41,49)",Fraud (30),321.76,325.66,287.8,265.37,259.14
"British Columbia (28,41,49)",Identity theft (30),0,0,4.99,4.35,4.59
"British Columbia (28,41,49)",Identity fraud (30),,,33.43,35.88,41.47
"British Columbia (28,41,49)",Total mischief,1531.78,1335.75,1212.63,1101.85,1045.24
"British Columbia (28,41,49)",Arson,54.63,51.17,46.19,39.55,40.28
"British Columbia (28,41,49)","Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0.07,0.06
"British Columbia (28,41,49)",Total other Criminal Code violations,1801.17,1787.06,1762.69,1737.5,1634.15
"British Columbia (28,41,49)",Counterfeiting (19),2.42,3.72,4.97,3.04,1.12
"British Columbia (28,41,49)",Total weapons violations,84.89,82.78,83.96,75.49,72.06
"British Columbia (28,41,49)","Child pornography (27,50,52)",4.84,4.55,4.31,5.59,4.87
"British Columbia (28,41,49)",Total prostitution,19.27,16.61,14.48,12.5,10.73
"British Columbia (28,41,49)",Disturb the peace (21),1164.38,1152.2,1108.69,1091.49,1015.24
"British Columbia (28,41,49)",Total administration of justice violations,331.89,350.48,376.97,371.3,364.08
"British Columbia (28,41,49)",Total other violations,193.49,176.71,169.31,178.08,166.05
"British Columbia (28,41,49)",Total Criminal Code traffic violations,433.55,484.23,451.7,491.87,389.33
"British Columbia (28,41,49)",Total impaired driving (49),326.25,386.74,357.35,408.32,311.41
"British Columbia (28,41,49)","Impaired operation, causing death",0.66,0.38,0.49,0.33,0.32
"British Columbia (28,41,49)","Impaired operation (drugs), causing death",0,0.04,0.02,0.02,0.06
"British Columbia (28,41,49)","Impaired operation, causing bodily harm",2.44,2.35,1.77,1.62,1.28
"British Columbia (28,41,49)","Impaired operation (drugs), causing bodily harm",0.02,0.04,0.07,0.09,0.06
"British Columbia (28,41,49)","Impaired operation of motor vehicle, vessel or aircraft (51)",302.97,357.21,328.91,373.93,279.35
"British Columbia (28,41,49)","Impaired operation (drugs) vehicle, vessel, aircraft",1.21,5.83,5.48,6.56,7.53
"British Columbia (28,41,49)","Impaired operation, failure to provide breath sample",18.66,20.45,20.27,25.63,22.54
"British Columbia (28,41,49)",Failure to comply or refusal (drugs),0.02,0.02,0.07,0.02,0.09
"British Columbia (28,41,49)","Impaired operation, failure to provide blood sample",0.27,0.4,0.29,0.13,0.17
"British Columbia (28,41,49)",Failure to provide blood sample (drugs),0,0,0,0,0
"British Columbia (28,41,49)",Total other Criminal Code traffic violations,107.29,97.49,94.36,83.56,77.92
"British Columbia (28,41,49)","Dangerous operation, causing death",0.62,0.45,0.49,0.48,0.22
"British Columbia (28,41,49)","Dangerous operation, causing bodily harm",1.46,1.41,1.35,0.81,0.67
"British Columbia (28,41,49)","Dangerous operation of motor vehicle, vessel or aircraft",10.2,8.41,8.76,8.02,10.23
"British Columbia (28,41,49)","Dangerous operation evading police, causing death",0,0.02,0,0.04,0
"British Columbia (28,41,49)","Dangerous operation evading police, causing bodily harm",0.14,0.2,0.13,0.09,0.04
"British Columbia (28,41,49)",Dangerous operation of motor vehicle evading police,11.15,9.73,12.72,11.78,10.25
"British Columbia (28,41,49)",Total fail to stop or remain (46),60.37,55.27,49.63,41.65,42.4
"British Columbia (28,41,49)",Driving while prohibited,23.01,21.39,20.77,20.3,13.67
"British Columbia (28,41,49)",Other Criminal Code traffic violations,0.07,0.09,0.11,0.02,0.04
"British Columbia (28,41,49)",Causing death by criminal negligence while street racing,,,0,0,0
"British Columbia (28,41,49)",Causing bodily harm by criminal negligence while street racing,0,0,0,0,0
"British Columbia (28,41,49)",Dangerous operation causing death while street racing,,,0,0,0
"British Columbia (28,41,49)",Dangerous operation causing bodily harm while street racing,0,0.02,0,0,0
"British Columbia (28,41,49)",Dangerous operation of motor vehicle while street racing,0.27,0.49,0.4,0.37,0.39
"British Columbia (28,41,49)",Total Federal Statute violations,786.08,708.31,772.29,762.43,755.62
"British Columbia (28,41,49)",Total drug violations,616.56,536.96,594.5,593.85,550.17
"British Columbia (28,41,49)","Possession, cannabis",313.8,297.85,347.08,365.47,328.76
"British Columbia (28,41,49)","Possession, cocaine",91.05,64.82,58.33,55.15,55.64
"British Columbia (28,41,49)","Total, possession, other Controlled Drugs and Substances Act drugs",63.61,43.27,47.4,49.64,52.42
"British Columbia (28,41,49)","Heroin, possession",8.87,7.78,6.98,8.28,10.82
"British Columbia (28,41,49)","Other Controlled Drugs and Substances Act, possession",42.9,24.19,25.72,26.13,25.07
"British Columbia (28,41,49)","Methamphetamines (crystal meth), possession",7.62,6.95,9.47,11.78,14.13
"British Columbia (28,41,49)","Methylenedioxyamphetamine (ecstasy), possession",4.22,4.35,5.23,3.45,2.4
"British Columbia (28,41,49)","Total cannabis, trafficking, production or distribution",63.07,66.75,75.17,60.94,53.5
"British Columbia (28,41,49)","Cannabis, trafficking",26.53,26.44,28.63,27.42,21.76
"British Columbia (28,41,49)","Cannabis, importation and exportation",1.32,0.52,0.53,0.66,0.39
"British Columbia (28,41,49)","Cannabis, production",35.22,39.8,46.01,32.86,31.35
"British Columbia (28,41,49)","Total cocaine, trafficking, production or distribution",65.6,47.33,48.92,44.18,38.46
"British Columbia (28,41,49)","Cocaine, trafficking",64.62,46.28,47.8,43.29,37.77
"British Columbia (28,41,49)","Cocaine, importation and exportation",0.89,0.99,1.1,0.9,0.69
"British Columbia (28,41,49)","Cocaine, production",0.09,0.07,0.02,0,0
"British Columbia (28,41,49)","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",19.43,16.93,17.6,18.22,21.03
"British Columbia (28,41,49)","Heroin, trafficking",2.51,2.49,2.89,3.54,4.85
"British Columbia (28,41,49)","Other Controlled Drugs and Substances Act, trafficking",8.87,7.8,7.11,8.59,10.49
"British Columbia (28,41,49)","Methamphetamines (crystal meth), trafficking",1.6,2.09,2.43,2.38,2.62
"British Columbia (28,41,49)","Methylenedioxyamphetamine (ecstasy), trafficking",2.28,2.06,2.3,1.18,0.65
"British Columbia (28,41,49)","Heroin, importation and exportation",0.23,0.27,0.29,0.13,0.13
"British Columbia (28,41,49)","Other Controlled Drugs and Substances Act, importation and exportation",2.94,0.99,1.24,1.2,1.17
"British Columbia (28,41,49)","Methamphetamines (crystal meth), importation and exportation",0.11,0.09,0.11,0.11,0.06
"British Columbia (28,41,49)","Methylenedioxyamphetamine (ecstasy), importation and exportation",0.18,0.31,0.29,0.17,0.02
"British Columbia (28,41,49)","Heroin, production",0.02,0,0,0,0
"British Columbia (28,41,49)","Other Controlled Drugs and Substances Act, production",0.07,0.25,0.24,0.22,0.26
"British Columbia (28,41,49)","Methamphetamines (crystal meth), production",0.41,0.34,0.53,0.61,0.61
"British Columbia (28,41,49)","Methylenedioxyamphetamine (ecstasy), production",0.21,0.25,0.18,0.09,0.17
"British Columbia (28,41,49)","Precursor or equipment (crystal meth, ecstasy) (44)",0,0,0,0.24,0.37
"British Columbia (28,41,49)",Youth Criminal Justice Act,31.54,40.61,32.81,29.06,38.29
"British Columbia (28,41,49)",Total other Federal Statutes,137.97,130.74,144.98,139.51,167.16
"British Columbia (28,41,49)",Bankruptcy Act,0.25,0.22,0.13,0.15,0.41
"British Columbia (28,41,49)",Income Tax Act,0.82,0.36,0.26,0.22,0.06
"British Columbia (28,41,49)",Canada Shipping Act,23.65,27.47,46.32,59.37,62.15
"British Columbia (28,41,49)",Canada Health Act,0.16,0.11,0.13,0.09,0.11
"British Columbia (28,41,49)",Customs Act,4.61,3.81,3.38,3.67,3.4
"British Columbia (28,41,49)",Competition Act,0,0.02,0,0,0
"British Columbia (28,41,49)",Excise Act,0.36,0.36,0.4,0.33,0.35
"British Columbia (28,41,49)",Total Immigration and Refugee Protection Act (46),5.02,4.82,5.78,3.63,3.35
"British Columbia (28,41,49)",Firearms Act,19,18.72,16.27,17.31,12.81
"British Columbia (28,41,49)",National Defense Act,0.14,0.02,0,0.02,0.02
"British Columbia (28,41,49)",Other federal statutes,83.96,74.82,72.3,54.74,84.5
Yukon,"Total, all violations",24214.5,25350.4,23045.16,22546.47,22694.66
Yukon,"Total, all Criminal Code violations (including traffic)",23329.31,24529.59,22323.28,21687.67,22043.71
Yukon,"Total, all Criminal Code violations (excluding traffic)",21966.77,23166.5,20951.72,20585.91,20716.88
Yukon,Total violent Criminal Code violations (16),3833.84,4160.37,4227.3,4152.78,4035.9
Yukon,"Homicide (17,24)",9.06,5.93,2.89,0,0
Yukon,Total other violations causing death,3.02,0,0,0,0
Yukon,Attempted murder,3.02,8.89,0,11.3,0
Yukon,"Sexual assault, level 3, aggravated",6.04,2.96,0,0,0
Yukon,"Sexual assault, level 2, weapon or bodily harm",0,5.93,2.89,5.65,11.08
Yukon,"Sexual assault, level 1",151.06,210.39,190.58,175.15,202.21
Yukon,Total sexual violations against children (26),0,5.93,8.66,11.3,24.93
Yukon,"Assault, level 3, aggravated",36.25,41.49,43.31,73.45,44.32
Yukon,"Assault, level 2, weapon or bodily harm",486.4,462.26,436.01,519.8,501.37
Yukon,"Assault, level 1",2012.08,2154.27,2029.91,2209.16,2041.49
Yukon,"Total assaults against a peace officer (25,35)",72.51,154.09,245.44,113,80.33
Yukon,Total other assaults,9.06,5.93,17.33,8.48,8.31
Yukon,"Total firearms; use of, discharge, pointing",6.04,14.82,28.88,14.13,22.16
Yukon,Total robbery (18),48.34,26.67,49.09,36.73,30.47
Yukon,Total forcible confinement or kidnapping (34),27.19,71.12,51.98,25.43,22.16
Yukon,Total abduction,6.04,2.96,8.66,0,0
Yukon,Extortion,6.04,5.93,0,0,2.77
Yukon,Criminal harassment (36),72.51,38.52,63.53,45.2,44.32
Yukon,Uttering threats,682.78,717.1,768.08,669.53,689.73
Yukon,Threatening or harassing phone calls,154.08,192.61,245.44,214.7,285.31
Yukon,Total other violent violations,42.3,32.6,34.65,19.78,24.93
Yukon,Total property crime violations,10253.78,9094.14,8983.02,9008.98,8667.35
Yukon,Total breaking and entering,767.37,764.51,710.33,539.58,567.85
Yukon,"Total possession of stolen property (42,46)",117.82,97.79,121.28,53.68,130.19
Yukon,"Total trafficking in stolen property (42,43,46)",0,0,0,0,2.77
Yukon,Total theft of motor vehicle (46),516.62,391.15,470.66,324.88,407.19
Yukon,"Total theft over $5,000 (non-motor vehicle)",81.57,50.37,95.29,62.15,69.25
Yukon,"Total theft under $5,000 (non-motor vehicle)",2081.57,2118.71,2154.08,2254.36,2501.32
Yukon,Fraud (30),377.64,382.26,320.51,228.83,260.38
Yukon,Identity theft (30),0,0,0,0,5.54
Yukon,Identity fraud (30),,,14.44,33.9,8.31
Yukon,Total mischief,6268.88,5247.87,5053.13,5463.59,4670.23
Yukon,Arson,42.3,41.49,43.31,48.03,44.32
Yukon,"Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0
Yukon,Total other Criminal Code violations,7879.15,9911.99,7741.4,7424.15,8013.63
Yukon,Counterfeiting (19),6.04,2.96,2.89,0,0
Yukon,Total weapons violations,78.55,97.79,49.09,81.93,102.49
Yukon,"Child pornography (27,50,52)",0,8.89,0,8.48,2.77
Yukon,Total prostitution,0,0,0,2.83,0
Yukon,Disturb the peace (21),5861.03,7182.86,5168.63,4779.93,5260.24
Yukon,Total administration of justice violations,1670.69,2308.35,2229.15,2251.54,2304.65
Yukon,Total other violations,262.84,311.14,291.64,299.45,343.48
Yukon,Total Criminal Code traffic violations,1362.54,1363.08,1371.56,1101.76,1326.83
Yukon,Total impaired driving (49),1141.99,1161.58,1183.88,926.61,1074.76
Yukon,"Impaired operation, causing death",3.02,0,5.78,2.83,2.77
Yukon,"Impaired operation (drugs), causing death",,,0,0,0
Yukon,"Impaired operation, causing bodily harm",3.02,11.85,14.44,14.13,8.31
Yukon,"Impaired operation (drugs), causing bodily harm",,,0,0,0
Yukon,"Impaired operation of motor vehicle, vessel or aircraft (51)",1063.44,1111.21,1140.56,872.93,1002.74
Yukon,"Impaired operation (drugs) vehicle, vessel, aircraft",15.11,5.93,5.78,8.48,36.01
Yukon,"Impaired operation, failure to provide breath sample",48.34,29.63,17.33,28.25,24.93
Yukon,Failure to comply or refusal (drugs),,,0,0,0
Yukon,"Impaired operation, failure to provide blood sample",9.06,2.96,0,0,0
Yukon,Failure to provide blood sample (drugs),,,0,0,0
Yukon,Total other Criminal Code traffic violations,220.54,201.5,187.69,175.15,252.07
Yukon,"Dangerous operation, causing death",0,0,0,0,0
Yukon,"Dangerous operation, causing bodily harm",9.06,2.96,2.89,8.48,5.54
Yukon,"Dangerous operation of motor vehicle, vessel or aircraft",48.34,68.15,60.64,42.38,41.55
Yukon,"Dangerous operation evading police, causing death",0,0,0,0,0
Yukon,"Dangerous operation evading police, causing bodily harm",0,0,0,0,0
Yukon,Dangerous operation of motor vehicle evading police,12.08,11.85,5.78,11.3,11.08
Yukon,Total fail to stop or remain (46),93.66,50.37,57.75,48.03,157.89
Yukon,Driving while prohibited,57.4,68.15,60.64,64.98,30.47
Yukon,Other Criminal Code traffic violations,0,0,0,0,0
Yukon,Causing death by criminal negligence while street racing,,,0,0,0
Yukon,Causing bodily harm by criminal negligence while street racing,,,0,0,0
Yukon,Dangerous operation causing death while street racing,,,0,0,0
Yukon,Dangerous operation causing bodily harm while street racing,,,0,0,0
Yukon,Dangerous operation of motor vehicle while street racing,,,0,0,5.54
Yukon,Total Federal Statute violations,885.2,820.81,721.88,858.81,650.95
Yukon,Total drug violations,655.59,631.17,522.64,545.23,526.3
Yukon,"Possession, cannabis",308.16,355.59,251.21,310.75,274.23
Yukon,"Possession, cocaine",66.47,44.45,23.1,45.2,27.7
Yukon,"Total, possession, other Controlled Drugs and Substances Act drugs",33.23,29.63,37.54,5.65,16.62
Yukon,"Heroin, possession",0,0,2.89,0,0
Yukon,"Other Controlled Drugs and Substances Act, possession",33.23,29.63,20.21,5.65,5.54
Yukon,"Methamphetamines (crystal meth), possession",0,0,0,0,0
Yukon,"Methylenedioxyamphetamine (ecstasy), possession",0,0,14.44,0,11.08
Yukon,"Total cannabis, trafficking, production or distribution",63.44,47.41,77.96,87.58,69.25
Yukon,"Cannabis, trafficking",54.38,20.74,66.41,70.63,58.17
Yukon,"Cannabis, importation and exportation",0,2.96,0,0,0
Yukon,"Cannabis, production",9.06,23.71,11.55,16.95,11.08
Yukon,"Total cocaine, trafficking, production or distribution",135.95,121.49,106.84,84.75,113.57
Yukon,"Cocaine, trafficking",135.95,118.53,103.95,84.75,113.57
Yukon,"Cocaine, importation and exportation",0,2.96,0,0,0
Yukon,"Cocaine, production",,,2.89,0,0
Yukon,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",48.34,32.6,25.99,11.3,24.93
Yukon,"Heroin, trafficking",0,0,0,0,0
Yukon,"Other Controlled Drugs and Substances Act, trafficking",48.34,26.67,23.1,11.3,19.39
Yukon,"Methamphetamines (crystal meth), trafficking",0,0,0,0,0
Yukon,"Methylenedioxyamphetamine (ecstasy), trafficking",0,0,0,0,0
Yukon,"Heroin, importation and exportation",0,0,0,0,2.77
Yukon,"Other Controlled Drugs and Substances Act, importation and exportation",0,2.96,0,0,0
Yukon,"Methamphetamines (crystal meth), importation and exportation",,,0,0,0
Yukon,"Methylenedioxyamphetamine (ecstasy), importation and exportation",,,0,0,0
Yukon,"Heroin, production",,,0,0,0
Yukon,"Other Controlled Drugs and Substances Act, production",,,0,0,0
Yukon,"Methamphetamines (crystal meth), production",,,2.89,0,2.77
Yukon,"Methylenedioxyamphetamine (ecstasy), production",0,2.96,0,0,0
Yukon,"Precursor or equipment (crystal meth, ecstasy) (44)",0,0,0,0,0
Yukon,Youth Criminal Justice Act,33.23,35.56,103.95,161.03,44.32
Yukon,Total other Federal Statutes,196.37,154.09,95.29,152.55,80.33
Yukon,Bankruptcy Act,0,0,0,0,0
Yukon,Income Tax Act,27.19,0,0,0,0
Yukon,Canada Shipping Act,0,0,2.89,0,5.54
Yukon,Canada Health Act,0,0,0,0,0
Yukon,Customs Act,24.17,23.71,17.33,36.73,11.08
Yukon,Competition Act,0,0,0,0,0
Yukon,Excise Act,3.02,8.89,5.78,5.65,0
Yukon,Total Immigration and Refugee Protection Act (46),6.04,14.82,8.66,14.13,2.77
Yukon,Firearms Act,90.63,59.26,37.54,56.5,38.78
Yukon,National Defense Act,0,0,0,0,0
Yukon,Other federal statutes,45.32,47.41,23.1,39.55,22.16
Northwest Territories (15),"Total, all violations",47979.04,45770.79,50885.51,51458.88,51634.41
Northwest Territories (15),"Total, all Criminal Code violations (including traffic)",46113.71,43864.15,48567.46,49312.4,49851.21
Northwest Territories (15),"Total, all Criminal Code violations (excluding traffic)",43708.23,42001.05,46557.11,47609.25,48051.86
Northwest Territories (15),Total violent Criminal Code violations (16),8786.51,8570.71,8472.18,8436.62,7993.26
Northwest Territories (15),"Homicide (17,24)",6.87,4.58,2.28,6.79,11.53
Northwest Territories (15),Total other violations causing death,0,0,4.56,0,0
Northwest Territories (15),Attempted murder,0,4.58,0,2.26,4.61
Northwest Territories (15),"Sexual assault, level 3, aggravated",2.29,0,0,9.05,0
Northwest Territories (15),"Sexual assault, level 2, weapon or bodily harm",4.58,2.29,18.23,0,13.84
Northwest Territories (15),"Sexual assault, level 1",402.82,426.24,408,404.87,392.17
Northwest Territories (15),Total sexual violations against children (26),0,9.17,34.19,36.19,39.22
Northwest Territories (15),"Assault, level 3, aggravated",59.51,68.75,70.66,70.12,85.35
Northwest Territories (15),"Assault, level 2, weapon or bodily harm",977.3,928.11,850.18,972.59,784.33
Northwest Territories (15),"Assault, level 1",4806.37,4750.56,4291.93,4270.33,4339.2
Northwest Territories (15),"Total assaults against a peace officer (25,35)",132.75,229.16,490.05,210.35,110.73
Northwest Territories (15),Total other assaults,2.29,4.58,2.28,2.26,6.92
Northwest Territories (15),"Total firearms; use of, discharge, pointing",18.31,11.46,36.47,24.88,36.91
Northwest Territories (15),Total robbery (18),50.35,29.79,54.7,33.93,53.06
Northwest Territories (15),Total forcible confinement or kidnapping (34),109.86,89.37,107.13,42.97,48.44
Northwest Territories (15),Total abduction,6.87,11.46,4.56,4.52,0
Northwest Territories (15),Extortion,4.58,2.29,4.56,4.52,0
Northwest Territories (15),Criminal harassment (36),107.57,128.33,132.2,199.04,140.72
Northwest Territories (15),Uttering threats,1441.91,1193.94,1315.16,1318.65,1264.16
Northwest Territories (15),Threatening or harassing phone calls,629.41,643.95,617.69,798.43,615.93
Northwest Territories (15),Total other violent violations,22.89,32.08,27.35,24.88,46.14
Northwest Territories (15),Total property crime violations,20326.38,19797.42,22369.11,22921.38,24023.62
Northwest Territories (15),Total breaking and entering,1961.46,1656.85,1636.54,1700.9,1520.22
Northwest Territories (15),"Total possession of stolen property (42,46)",102.99,77.92,91.17,85.95,71.51
Northwest Territories (15),"Total trafficking in stolen property (42,43,46)",0,0,0,0,2.31
Northwest Territories (15),Total theft of motor vehicle (46),734.69,533.95,508.29,490.82,456.76
Northwest Territories (15),"Total theft over $5,000 (non-motor vehicle)",52.64,52.71,79.78,56.55,71.51
Northwest Territories (15),"Total theft under $5,000 (non-motor vehicle)",2231.53,2259.55,2122.03,2295.76,2242.27
Northwest Territories (15),Fraud (30),295.25,309.37,382.92,325.7,320.65
Northwest Territories (15),Identity theft (30),0,0,6.84,4.52,6.92
Northwest Territories (15),Identity fraud (30),,,4.56,20.36,18.45
Northwest Territories (15),Total mischief,14863.13,14833.74,17450.37,17861.67,19248.43
Northwest Territories (15),Arson,84.68,73.33,86.61,79.16,64.59
Northwest Territories (15),"Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0
Northwest Territories (15),Total other Criminal Code violations,14595.35,13632.93,15715.82,16251.24,16034.97
Northwest Territories (15),Counterfeiting (19),0,0,9.12,2.26,2.31
Northwest Territories (15),Total weapons violations,157.92,178.75,150.43,128.92,145.33
Northwest Territories (15),"Child pornography (27,50,52)",4.58,9.17,6.84,0,9.23
Northwest Territories (15),Total prostitution,9.15,4.58,15.96,11.31,6.92
Northwest Territories (15),Disturb the peace (21),10937.93,9952.56,11975.47,12512.44,12510.09
Northwest Territories (15),Total administration of justice violations,2915.87,2979.12,3031.48,3119.06,2798.22
Northwest Territories (15),Total other violations,569.9,508.74,526.52,477.25,562.87
Northwest Territories (15),Total Criminal Code traffic violations,2405.47,1863.1,2010.35,1703.16,1799.35
Northwest Territories (15),Total impaired driving (49),2153.71,1535.39,1691.25,1431.74,1534.06
Northwest Territories (15),"Impaired operation, causing death",4.58,2.29,2.28,0,2.31
Northwest Territories (15),"Impaired operation (drugs), causing death",,,0,0,0
Northwest Territories (15),"Impaired operation, causing bodily harm",16.02,16.04,4.56,6.79,11.53
Northwest Territories (15),"Impaired operation (drugs), causing bodily harm",,,0,0,0
Northwest Territories (15),"Impaired operation of motor vehicle, vessel or aircraft (51)",2103.36,1475.81,1618.31,1386.5,1483.31
Northwest Territories (15),"Impaired operation (drugs) vehicle, vessel, aircraft",13.73,32.08,52.42,29.4,29.99
Northwest Territories (15),"Impaired operation, failure to provide breath sample",13.73,6.87,13.68,6.79,6.92
Northwest Territories (15),Failure to comply or refusal (drugs),,,0,0,0
Northwest Territories (15),"Impaired operation, failure to provide blood sample",2.29,2.29,0,2.26,0
Northwest Territories (15),Failure to provide blood sample (drugs),,,0,0,0
Northwest Territories (15),Total other Criminal Code traffic violations,251.76,327.7,319.1,271.42,265.29
Northwest Territories (15),"Dangerous operation, causing death",0,0,2.28,0,0
Northwest Territories (15),"Dangerous operation, causing bodily harm",4.58,9.17,11.4,2.26,0
Northwest Territories (15),"Dangerous operation of motor vehicle, vessel or aircraft",112.15,121.46,111.69,122.14,101.5
Northwest Territories (15),"Dangerous operation evading police, causing death",0,0,0,0,0
Northwest Territories (15),"Dangerous operation evading police, causing bodily harm",0,2.29,0,0,0
Northwest Territories (15),Dangerous operation of motor vehicle evading police,32.04,18.33,11.4,13.57,18.45
Northwest Territories (15),Total fail to stop or remain (46),27.46,52.71,54.7,38.45,48.44
Northwest Territories (15),Driving while prohibited,73.24,123.75,127.64,95,92.27
Northwest Territories (15),Other Criminal Code traffic violations,0,0,0,0,0
Northwest Territories (15),Causing death by criminal negligence while street racing,,,0,0,0
Northwest Territories (15),Causing bodily harm by criminal negligence while street racing,,,0,0,0
Northwest Territories (15),Dangerous operation causing death while street racing,,,0,0,0
Northwest Territories (15),Dangerous operation causing bodily harm while street racing,,,0,0,0
Northwest Territories (15),Dangerous operation of motor vehicle while street racing,2.29,0,0,0,4.61
Northwest Territories (15),Total Federal Statute violations,1865.33,1906.64,2318.05,2146.48,1783.2
Northwest Territories (15),Total drug violations,1171.84,1331.44,1720.88,1594.59,1370.27
