"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, adult charged","Number","223","units","0","v69380260","200.1.9","31751","","","","0"
"2015","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v69380261","200.1.10","1317.72","","","","2"
"2016","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v69380261","200.1.10","1317.85","","","","2"
"2017","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v69380261","200.1.10","1302.25","","","","2"
"2018","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v69380261","200.1.10","1239.83","","","","2"
"2019","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v69380261","200.1.10","1256.75","","","","2"
"2020","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v69380261","200.1.10","1031.58","","","","2"
"2021","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v69380261","200.1.10","1035.80","","","","2"
"2022","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v69380261","200.1.10","1071.46","","","","2"
"2023","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v69380261","200.1.10","1204.17","","","","2"
"2015","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, youth charged","Number","223","units","0","v69380262","200.1.11","2547","","","","0"
"2016","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, youth charged","Number","223","units","0","v69380262","200.1.11","2656","","","","0"
"2017","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, youth charged","Number","223","units","0","v69380262","200.1.11","2673","","","","0"
"2018","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, youth charged","Number","223","units","0","v69380262","200.1.11","2159","","","","0"
"2019","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, youth charged","Number","223","units","0","v69380262","200.1.11","2083","","","","0"
"2020","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, youth charged","Number","223","units","0","v69380262","200.1.11","1183","","","","0"
"2021","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, youth charged","Number","223","units","0","v69380262","200.1.11","1046","","","","0"
"2022","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, youth charged","Number","223","units","0","v69380262","200.1.11","1329","","","","0"
