,,,"Fredericton, City [Census subdivision], New Brunswick",,,,,,"New Brunswick [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Mother tongue","        Afro-Asiatic languages",,    1010,,     550,,     465,,    3190,,    1805,,    1385,
"Mother tongue","          Berber languages",,       0,,       0,,       0,,      40,,      25,,      15,
"Mother tongue","            Kabyle",,       0,,       0,,       0,,      20,,      10,,       5,
"Mother tongue","            Berber languages; n.i.e.",,       0,,       0,,       0,,      25,,      15,,      10,
"Mother tongue","          Cushitic languages",,       5,,       0,,       0,,      30,,      15,,      20,
"Mother tongue","            Bilen",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Oromo",,       5,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Somali",,       0,,       0,,       0,,      25,,      10,,      15,
"Mother tongue","            Cushitic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Semitic languages",,    1005,,     545,,     460,,    3110,,    1760,,    1355,
"Mother tongue","            Amharic",,      40,,      20,,      15,,      65,,      35,,      25,
"Mother tongue","            Arabic",,     905,,     485,,     415,,    2855,,    1615,,    1235,
"Mother tongue","            Assyrian Neo-Aramaic",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Chaldean Neo-Aramaic",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Harari",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Hebrew",,      55,,      35,,      20,,     170,,      90,,      80,
"Mother tongue","            Maltese",,       5,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","            Tigrigna",,       5,,       5,,       5,,      20,,      15,,      10,
"Mother tongue","            Semitic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","        Austro-Asiatic languages",,     185,,     100,,      85,,     635,,     305,,     330,
"Mother tongue","          Khmer (Cambodian)",,       5,,       0,,       5,,      10,,       5,,      10,
"Mother tongue","          Vietnamese",,     180,,     100,,      85,,     620,,     305,,     320,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Austronesian languages",,     160,,      65,,      90,,    1375,,     510,,     865,
"Mother tongue","          Bikol",,       5,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","          Cebuano",,      15,,      10,,      10,,     105,,      35,,      65,
"Mother tongue","          Fijian",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Hiligaynon",,       0,,       0,,       0,,      15,,       5,,      10,
"Mother tongue","          Ilocano",,       5,,       0,,       5,,      50,,      15,,      35,
"Mother tongue","          Malagasy",,       0,,       0,,       0,,      15,,       5,,      10,
"Mother tongue","          Malay",,      15,,      10,,      10,,      45,,      20,,      30,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","          Pangasinan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,     115,,      50,,      70,,    1120,,     420,,     700,
"Mother tongue","          Waray-Waray",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","          Austronesian languages; n.i.e.",,       0,,       5,,       0,,      15,,       5,,      10,
"Mother tongue","        Creole languages",,      10,,       0,,       5,,     135,,      70,,      65,
"Mother tongue","          Haitian Creole",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","          Creole; n.o.s.",,       0,,       0,,       0,,      80,,      30,,      50,
"Mother tongue","          Creole languages; n.i.e.",,       5,,       5,,       0,,      40,,      30,,      10,
"Mother tongue","        Dravidian languages",,      75,,      40,,      35,,     285,,     155,,     130,
"Mother tongue","          Kannada",,      10,,       5,,       5,,      20,,      15,,      10,
"Mother tongue","          Malayalam",,       5,,       0,,       0,,      40,,      15,,      20,
"Mother tongue","          Tamil",,      40,,      25,,      15,,     105,,      60,,      50,
"Mother tongue","          Telugu",,      20,,      10,,      10,,     110,,      60,,      45,
"Mother tongue","          Dravidian languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","        Hmong-Mien languages",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","        Indo-European languages",,    2180,,    1095,,    1085,,    9325,,    4790,,    4530,
"Mother tongue","          Albanian",,      25,,      10,,      15,,      50,,      25,,      25,
"Mother tongue","          Armenian",,      10,,       5,,       5,,      30,,      15,,      10,
"Mother tongue","          Balto-Slavic languages",,     585,,     285,,     295,,    1740,,     865,,     875,
"Mother tongue","            Baltic languages",,      10,,       5,,      10,,      55,,      30,,      30,
"Mother tongue","              Latvian",,       0,,       0,,       0,,      25,,      10,,      10,
"Mother tongue","              Lithuanian",,      15,,       5,,      10,,      35,,      15,,      15,
"Mother tongue","            Slavic languages",,     570,,     280,,     290,,    1685,,     835,,     850,
"Mother tongue","              Belarusan",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","              Bosnian",,      25,,      15,,      10,,      50,,      25,,      25,
"Mother tongue","              Bulgarian",,       5,,       0,,       5,,      20,,      10,,      10,
"Mother tongue","              Croatian",,      25,,      10,,      15,,      75,,      35,,      40,
"Mother tongue","              Czech",,      10,,       0,,      10,,      55,,      25,,      25,
"Mother tongue","              Macedonian",,       0,,       0,,       5,,      15,,      10,,       5,
"Mother tongue","              Polish",,      45,,      25,,      20,,     230,,     105,,     125,
"Mother tongue","              Russian",,     330,,     175,,     155,,     880,,     440,,     435,
"Mother tongue","              Serbian",,      70,,      40,,      35,,     105,,      55,,      45,
"Mother tongue","              Serbo-Croatian",,      20,,       5,,      10,,      35,,      15,,      20,
"Mother tongue","              Slovak",,       0,,       0,,       0,,      25,,      15,,      15,
"Mother tongue","              Slovene (Slovenian)",,       5,,       0,,       0,,      15,,      10,,      10,
"Mother tongue","              Ukrainian",,      40,,      20,,      25,,     170,,      85,,      90,
"Mother tongue","              Slavic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Celtic languages",,       0,,       0,,       5,,      30,,       5,,      20,
"Mother tongue","            Scottish Gaelic",,       0,,       0,,       0,,      15,,       5,,      10,
"Mother tongue","            Welsh",,       0,,       0,,       0,,      10,,       0,,      10,
"Mother tongue","            Celtic languages; n.i.e.",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","          Germanic languages",,     355,,     160,,     190,,    2875,,    1415,,    1465,
"Mother tongue","            Afrikaans",,       5,,       5,,       0,,      50,,      30,,      25,
"Mother tongue","            Danish",,      15,,       5,,       5,,     125,,      55,,      75,
"Mother tongue","            Dutch",,     110,,      60,,      55,,     885,,     470,,     410,
"Mother tongue","            Frisian",,       0,,       0,,       5,,      35,,      25,,      10,
"Mother tongue","            German",,     200,,      90,,     105,,    1650,,     780,,     865,
"Mother tongue","            Icelandic",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Norwegian",,       5,,       5,,       0,,      40,,      25,,      20,
"Mother tongue","            Swedish",,      15,,       5,,      10,,      50,,      15,,      35,
"Mother tongue","            Vlaams (Flemish)",,       0,,       0,,       5,,      20,,      10,,      10,
"Mother tongue","            Yiddish",,       5,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","            Germanic languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Greek",,      20,,      10,,      10,,     145,,     100,,      50,
"Mother tongue","          Indo-Iranian languages",,     805,,     435,,     375,,    1850,,    1020,,     835,
"Mother tongue","            Indo-Aryan languages",,     470,,     255,,     215,,    1175,,     655,,     525,
"Mother tongue","              Bengali",,      85,,      50,,      35,,     205,,     120,,      85,
"Mother tongue","              Gujarati",,      15,,       5,,      10,,      75,,      40,,      30,
"Mother tongue","              Hindi",,     100,,      50,,      45,,     225,,     135,,      95,
"Mother tongue","              Kashmiri",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Konkani",,       5,,       0,,       5,,      10,,       5,,       5,
"Mother tongue","              Marathi",,      25,,      10,,      10,,      50,,      20,,      25,
"Mother tongue","              Nepali",,     140,,      70,,      75,,     180,,      90,,      90,
"Mother tongue","              Oriya (Odia)",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","              Punjabi (Panjabi)",,      20,,      15,,      10,,     125,,      75,,      50,
