,,"Property Crime Rates (per 100,000 population)",,,,
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Theft over $5,000 from a motor vehicle",6.11,6.44,6.21,5.33,9.59
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Shoplifting over $5,000",1.57,2.04,1.78,2.39,2.04
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Total theft under $5,000 (non-motor vehicle)",1506.21,1491.2,1431.21,1429.78,1442.4
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Theft $5,000 or under",725.8,597.96,583.38,599.08,593.93
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Theft $5,000 or under from a motor vehicle",526.74,607.18,551.75,534.95,542.22
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Shoplifting $5,000 or under",253.66,286.06,296.09,295.76,306.24
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Fraud (30),307.68,266.32,242.18,232.34,246.28
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Identity theft (30),0,0,2.82,3.5,4.4
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Identity fraud (30),0.17,0.24,17.83,35.97,44.4
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total mischief,886.13,833.3,687,631.22,580.34
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Mischief,884.81,829.88,685.55,630.67,579.63
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Mischief to religious property motivated by hate,1.32,3.42,1.45,0.56,0.71
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Arson,25.77,28.95,24.37,21.32,23.73
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0.08,0
"Ottawa-Gatineau, Ontario part (6,52)",Total property crime violations,3499.23,3378.37,3042.75,2971.64,2959.39
"Ottawa-Gatineau, Ontario part (6,52)",Total breaking and entering,394.8,355.52,316.75,292.78,295.28
"Ottawa-Gatineau, Ontario part (6,52)",Breaking and entering,394.59,354.76,316.21,292.36,293.92
"Ottawa-Gatineau, Ontario part (6,52)",Breaking and entering to steal a firearm,0.22,0.54,0.43,0.32,0.84
"Ottawa-Gatineau, Ontario part (6,52)",Break and enter to steal a firearm from a motor vehicle,0,0.22,0.11,0.11,0.52
"Ottawa-Gatineau, Ontario part (6,52)","Total possession of stolen property (42,46)",52.81,54.16,56.94,30.7,18.08
"Ottawa-Gatineau, Ontario part (6,52)","Total trafficking in stolen property (42,43,46)",0,0,0,0,0.21
"Ottawa-Gatineau, Ontario part (6,52)",Total theft of motor vehicle (46),200.3,196.73,137.57,124.06,135.15
"Ottawa-Gatineau, Ontario part (6,52)","Total theft over $5,000 (non-motor vehicle)",28.43,29.4,28.95,25.62,31.57
"Ottawa-Gatineau, Ontario part (6,52)","Theft over $5,000",22.63,21.08,22.09,19.05,21.85
"Ottawa-Gatineau, Ontario part (6,52)","Theft over $5,000 from a motor vehicle",4.81,6.38,5.36,4.66,7.94
"Ottawa-Gatineau, Ontario part (6,52)","Shoplifting over $5,000",0.98,1.95,1.5,1.91,1.78
"Ottawa-Gatineau, Ontario part (6,52)","Total theft under $5,000 (non-motor vehicle)",1532.64,1587.36,1499.02,1558.75,1561.48
"Ottawa-Gatineau, Ontario part (6,52)","Theft $5,000 or under",672.62,617.76,603.04,642.72,634.04
"Ottawa-Gatineau, Ontario part (6,52)","Theft $5,000 or under from a motor vehicle",543.61,678.83,593.28,605.46,617.95
"Ottawa-Gatineau, Ontario part (6,52)","Shoplifting $5,000 or under",316.41,290.77,302.7,310.56,309.5
"Ottawa-Gatineau, Ontario part (6,52)",Fraud (30),330.41,288.29,263.99,251.82,268.42
"Ottawa-Gatineau, Ontario part (6,52)",Identity theft (30),0,0,1.72,1.91,1.25
"Ottawa-Gatineau, Ontario part (6,52)",Identity fraud (30),,,17.05,35.78,45.57
"Ottawa-Gatineau, Ontario part (6,52)",Total mischief,937.87,842.16,700.61,634.36,584.92
"Ottawa-Gatineau, Ontario part (6,52)",Mischief,936.12,837.95,699.01,633.83,584.5
"Ottawa-Gatineau, Ontario part (6,52)",Mischief to religious property motivated by hate,1.75,4.22,1.61,0.53,0.42
"Ottawa-Gatineau, Ontario part (6,52)",Arson,21.98,24.75,20.16,15.88,17.46
"Ottawa-Gatineau, Ontario part (6,52)","Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0
"Kingston, Ontario (8)",Total property crime violations,3841.69,3476.8,3597.25,3520.31,3527.58
"Kingston, Ontario (8)",Total breaking and entering,499.02,413.67,492.04,466.4,377.65
"Kingston, Ontario (8)",Breaking and entering,499.02,413.67,490.79,463.92,375.8
"Kingston, Ontario (8)",Breaking and entering to steal a firearm,,,1.25,0,1.23
"Kingston, Ontario (8)",Break and enter to steal a firearm from a motor vehicle,,,0,2.48,0.62
"Kingston, Ontario (8)","Total possession of stolen property (42,46)",67.3,56.04,55.57,55.2,33.27
"Kingston, Ontario (8)","Total trafficking in stolen property (42,43,46)",0,0,0,0,0
"Kingston, Ontario (8)",Total theft of motor vehicle (46),149.2,134.74,105.53,79.39,80.7
"Kingston, Ontario (8)","Total theft over $5,000 (non-motor vehicle)",29.84,59.19,29.97,32.25,25.26
"Kingston, Ontario (8)","Theft over $5,000",26.03,39.04,23.73,27.91,20.95
"Kingston, Ontario (8)","Theft over $5,000 from a motor vehicle",2.54,18.89,6.24,1.86,4.31
"Kingston, Ontario (8)","Shoplifting over $5,000",1.27,1.26,0,2.48,0
"Kingston, Ontario (8)","Total theft under $5,000 (non-motor vehicle)",1822.75,1685.51,1761.47,1811.63,1849.42
"Kingston, Ontario (8)","Theft $5,000 or under",976.45,904.78,911.65,918.53,925.94
"Kingston, Ontario (8)","Theft $5,000 or under from a motor vehicle",597.43,527.63,529.5,492.45,547.06
"Kingston, Ontario (8)","Shoplifting $5,000 or under",248.87,253.11,320.32,400.65,376.41
"Kingston, Ontario (8)",Fraud (30),191.1,185.74,224.79,231.34,226.1
"Kingston, Ontario (8)",Identity theft (30),0,0,0,0,1.85
"Kingston, Ontario (8)",Identity fraud (30),,,0,2.48,0
"Kingston, Ontario (8)",Total mischief,1065.34,919.26,906.03,824.88,911.77
"Kingston, Ontario (8)",Mischief,1065.34,919.26,906.03,824.88,911.16
"Kingston, Ontario (8)",Mischief to religious property motivated by hate,,,0,0,0.62
"Kingston, Ontario (8)",Arson,17.14,22.67,21.85,16.75,21.56
"Kingston, Ontario (8)","Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0
"Peterborough, Ontario (8)",Total property crime violations,3623.12,3685.63,3410.38,3091.1,3151.33
"Peterborough, Ontario (8)",Total breaking and entering,385.37,492.19,584.64,525.5,484
"Peterborough, Ontario (8)",Breaking and entering,383.7,491.36,582.98,523.02,483.17
"Peterborough, Ontario (8)",Breaking and entering to steal a firearm,1.66,0.83,0.83,0.82,0.82
"Peterborough, Ontario (8)",Break and enter to steal a firearm from a motor vehicle,,,0.83,1.65,0
"Peterborough, Ontario (8)","Total possession of stolen property (42,46)",127.35,123.05,136.25,88.27,48.65
"Peterborough, Ontario (8)","Total trafficking in stolen property (42,43,46)",0,0,0,0,0
"Peterborough, Ontario (8)",Total theft of motor vehicle (46),184.78,126.37,109,85.8,98.12
"Peterborough, Ontario (8)","Total theft over $5,000 (non-motor vehicle)",24.97,24.94,23.12,35.47,18.96
"Peterborough, Ontario (8)","Theft over $5,000",22.47,20.79,17.34,33,14.84
"Peterborough, Ontario (8)","Theft over $5,000 from a motor vehicle",2.5,3.33,5.78,1.65,4.12
"Peterborough, Ontario (8)","Shoplifting over $5,000",0,0.83,0,0.82,0
"Peterborough, Ontario (8)","Total theft under $5,000 (non-motor vehicle)",1898.54,1922.21,1683.72,1570.71,1635.03
"Peterborough, Ontario (8)","Theft $5,000 or under",892.26,782.35,675.47,622.84,660.44
"Peterborough, Ontario (8)","Theft $5,000 or under from a motor vehicle",749.93,787.34,670.51,543.64,566.45
"Peterborough, Ontario (8)","Shoplifting $5,000 or under",256.36,352.52,337.73,404.23,408.14
"Peterborough, Ontario (8)",Fraud (30),249.7,266.05,213.05,187.26,214.38
"Peterborough, Ontario (8)",Identity theft (30),0,0,0,0.82,0
"Peterborough, Ontario (8)",Identity fraud (30),,,2.48,9.07,23.91
"Peterborough, Ontario (8)",Total mischief,743.27,722.49,645.74,579.12,618.39
"Peterborough, Ontario (8)",Mischief,743.27,721.66,645.74,576.64,618.39
"Peterborough, Ontario (8)",Mischief to religious property motivated by hate,0,0.83,0,2.47,0
"Peterborough, Ontario (8)",Arson,9.16,8.31,12.39,9.07,9.89
"Peterborough, Ontario (8)","Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0
"Toronto, Ontario (33)",Total property crime violations,2659.47,2533.85,2353.66,2221,2067.37
"Toronto, Ontario (33)",Total breaking and entering,342.25,318.15,307.26,275.38,256.27
"Toronto, Ontario (33)",Breaking and entering,342.24,317.99,307,275.18,256.04
"Toronto, Ontario (33)",Breaking and entering to steal a firearm,0.02,0.16,0.18,0.12,0.15
"Toronto, Ontario (33)",Break and enter to steal a firearm from a motor vehicle,,,0.09,0.09,0.08
"Toronto, Ontario (33)","Total possession of stolen property (42,46)",95.53,94.97,89.07,48.25,33.49
"Toronto, Ontario (33)","Total trafficking in stolen property (42,43,46)",0,0,0,0.47,0.9
"Toronto, Ontario (33)",Total theft of motor vehicle (46),243.16,200.94,170.55,149.88,130.23
"Toronto, Ontario (33)","Total theft over $5,000 (non-motor vehicle)",42.32,37.55,34.57,34.97,31.52
"Toronto, Ontario (33)","Theft over $5,000",31.07,26.15,25.26,25.77,24.06
"Toronto, Ontario (33)","Theft over $5,000 from a motor vehicle",10.62,10.49,8.38,8.09,6.64
"Toronto, Ontario (33)","Shoplifting over $5,000",0.64,0.91,0.93,1.1,0.82
"Toronto, Ontario (33)","Total theft under $5,000 (non-motor vehicle)",1210.41,1222.58,1149.97,1141.37,1085.62
"Toronto, Ontario (33)","Theft $5,000 or under",561.59,496.04,486.63,488.63,481.88
"Toronto, Ontario (33)","Theft $5,000 or under from a motor vehicle",437.54,498.4,442.12,412.31,350.93
"Toronto, Ontario (33)","Shoplifting $5,000 or under",211.28,228.14,221.22,240.43,252.81
"Toronto, Ontario (33)",Fraud (30),272.7,261.09,226.56,224.77,208.52
"Toronto, Ontario (33)",Identity theft (30),0,0,2.41,3.54,3.74
"Toronto, Ontario (33)",Identity fraud (30),,,8.38,12.25,13.46
"Toronto, Ontario (33)",Total mischief,440.53,386.15,355.34,321.26,294.94
"Toronto, Ontario (33)",Mischief,440.22,385.75,354.83,321.01,294.76
"Toronto, Ontario (33)",Mischief to religious property motivated by hate,0.31,0.39,0.51,0.24,0.19
"Toronto, Ontario (33)",Arson,12.57,12.42,9.57,8.85,8.66
"Toronto, Ontario (33)","Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0.02,0.03
"Hamilton, Ontario (33)",Total property crime violations,3714.95,3586.51,3409.56,3111.3,2988.62
"Hamilton, Ontario (33)",Total breaking and entering,480.14,448.3,440.13,383.31,394.35
"Hamilton, Ontario (33)",Breaking and entering,480.14,447.88,440.13,382.77,393.82
"Hamilton, Ontario (33)",Breaking and entering to steal a firearm,0,0.28,0,0.27,0.27
"Hamilton, Ontario (33)",Break and enter to steal a firearm from a motor vehicle,0,0.14,0,0.27,0.27
"Hamilton, Ontario (33)","Total possession of stolen property (42,46)",111,110.6,107.34,106.22,100.64
"Hamilton, Ontario (33)","Total trafficking in stolen property (42,43,46)",0,0,0,0,0
"Hamilton, Ontario (33)",Total theft of motor vehicle (46),431.23,425.59,351.88,334,318.3
"Hamilton, Ontario (33)","Total theft over $5,000 (non-motor vehicle)",41.39,38.13,39.7,31.65,37.49
"Hamilton, Ontario (33)","Theft over $5,000",33.03,30.42,30.29,23.63,28.48
"Hamilton, Ontario (33)","Theft over $5,000 from a motor vehicle",7.66,7.15,7.88,6.93,8.2
"Hamilton, Ontario (33)","Shoplifting over $5,000",0.71,0.56,1.52,1.09,0.81
"Hamilton, Ontario (33)","Total theft under $5,000 (non-motor vehicle)",1554.68,1477.5,1473.51,1380.84,1322.39
"Hamilton, Ontario (33)","Theft $5,000 or under",617.36,569.41,550.65,522.4,515.41
"Hamilton, Ontario (33)","Theft $5,000 or under from a motor vehicle",728.36,682.26,700.17,643.15,586.89
"Hamilton, Ontario (33)","Shoplifting $5,000 or under",208.95,225.83,222.69,215.29,220.09
