"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v68869963","38.1.12","1126.94","","","","2"
"2020","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v68869963","38.1.12","578.54","","","","2"
"2021","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v68869963","38.1.12","420.29","","","","2"
"2022","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v68869963","38.1.12","615.88","","","","2"
"2023","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v68869963","38.1.12","788.47","","","","2"
"2015","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v68869964","38.1.13","1399","","","","0"
"2016","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v68869964","38.1.13","1284","","","","0"
"2017","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v68869964","38.1.13","1486","","","","0"
"2018","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v68869964","38.1.13","1172","","","","0"
"2019","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v68869964","38.1.13","1232","","","","0"
"2020","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v68869964","38.1.13","455","","","","0"
"2021","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v68869964","38.1.13","257","","","","0"
"2022","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v68869964","38.1.13","560","","","","0"
"2023","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v68869964","38.1.13","656","","","","0"
"2015","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v68869965","38.1.14","1315.67","","","","2"
"2016","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v68869965","38.1.14","1207.46","","","","2"
"2017","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v68869965","38.1.14","1401.00","","","","2"
"2018","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v68869965","38.1.14","1111.16","","","","2"
"2019","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v68869965","38.1.14","1166.71","","","","2"
"2020","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v68869965","38.1.14","431.53","","","","2"
"2021","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v68869965","38.1.14","248.88","","","","2"
"2022","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v68869965","38.1.14","552.72","","","","2"
"2023","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v68869965","38.1.14","643.33","","","","2"


