,,,"Vancouver, City [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Mother tongue","              Russian",,    4450,,    1910,,    2535,,   25955,,   11640,,   14310,
"Mother tongue","              Serbian",,    2125,,    1050,,    1075,,    7045,,    3600,,    3450,
"Mother tongue","              Serbo-Croatian",,     490,,     230,,     260,,    1395,,     670,,     725,
"Mother tongue","              Slovak",,     600,,     270,,     330,,    3400,,    1525,,    1870,
"Mother tongue","              Slovene (Slovenian)",,     145,,      70,,      75,,    1160,,     545,,     615,
"Mother tongue","              Ukrainian",,     870,,     370,,     500,,    8630,,    3730,,    4900,
"Mother tongue","              Slavic languages; n.i.e.",,      40,,      25,,      15,,     345,,     175,,     170,
"Mother tongue","          Celtic languages",,     120,,      80,,      40,,     615,,     325,,     290,
"Mother tongue","            Scottish Gaelic",,      35,,      25,,      10,,     240,,     130,,     110,
"Mother tongue","            Welsh",,      40,,      25,,      20,,     280,,     145,,     135,
"Mother tongue","            Celtic languages; n.i.e.",,      40,,      30,,      15,,      95,,      50,,      45,
"Mother tongue","          Germanic languages",,    9005,,    4340,,    4665,,  101725,,   48350,,   53380,
"Mother tongue","            Afrikaans",,     270,,     155,,     115,,    3260,,    1655,,    1610,
"Mother tongue","            Danish",,     400,,     195,,     200,,    4665,,    2280,,    2385,
"Mother tongue","            Dutch",,    1360,,     685,,     675,,   21020,,   10130,,   10895,
"Mother tongue","            Frisian",,       5,,       0,,       5,,     295,,     145,,     145,
"Mother tongue","            German",,    6075,,    2875,,    3205,,   66885,,   31525,,   35360,
"Mother tongue","            Icelandic",,      70,,      35,,      40,,     275,,     135,,     145,
"Mother tongue","            Norwegian",,     180,,      85,,      95,,    2005,,     970,,    1035,
"Mother tongue","            Swedish",,     430,,     195,,     235,,    2520,,    1100,,    1420,
"Mother tongue","            Vlaams (Flemish)",,      60,,      40,,      20,,     445,,     220,,     225,
"Mother tongue","            Yiddish",,     145,,      70,,      75,,     290,,     150,,     140,
"Mother tongue","            Germanic languages; n.i.e.",,      10,,       5,,      10,,      65,,      45,,      25,
"Mother tongue","          Greek",,    2160,,    1080,,    1075,,    6115,,    3245,,    2870,
"Mother tongue","          Indo-Iranian languages",,   28905,,   14405,,   14500,,  297800,,  147830,,  149970,
"Mother tongue","            Indo-Aryan languages",,   20600,,   10195,,   10405,,  251000,,  124260,,  126740,
"Mother tongue","              Bengali",,     935,,     485,,     445,,    3180,,    1665,,    1510,
"Mother tongue","              Gujarati",,     935,,     450,,     490,,    6895,,    3290,,    3605,
"Mother tongue","              Hindi",,    3680,,    1830,,    1850,,   26720,,   12910,,   13810,
"Mother tongue","              Kashmiri",,      10,,       5,,       0,,      65,,      35,,      25,
"Mother tongue","              Konkani",,      45,,      25,,      25,,     255,,     130,,     125,
"Mother tongue","              Marathi",,     120,,      70,,      50,,     620,,     325,,     295,
"Mother tongue","              Nepali",,     175,,     105,,      70,,    1155,,     620,,     540,
"Mother tongue","              Oriya (Odia)",,      20,,      15,,       5,,      70,,      35,,      35,
"Mother tongue","              Punjabi (Panjabi)",,   13385,,    6520,,    6860,,  198805,,   98525,,  100285,
"Mother tongue","              Sindhi",,     230,,     115,,     115,,    1675,,     780,,     895,
