,,,"Brampton, City [Census subdivision], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Mother tongue","          Balto-Slavic languages",,    8665,,    4125,,    4540,,  410725,,  188695,,  222025,
"Mother tongue","            Baltic languages",,      80,,      45,,      30,,    9080,,    3785,,    5295,
"Mother tongue","              Latvian",,      45,,      30,,      15,,    3910,,    1650,,    2260,
"Mother tongue","              Lithuanian",,      35,,      20,,      15,,    5175,,    2135,,    3035,
"Mother tongue","            Slavic languages",,    8590,,    4080,,    4505,,  401645,,  184915,,  216730,
"Mother tongue","              Belarusan",,      10,,       5,,       5,,     515,,     230,,     280,
"Mother tongue","              Bosnian",,     175,,      95,,      80,,    6370,,    3125,,    3245,
"Mother tongue","              Bulgarian",,     145,,      80,,      65,,    9095,,    4355,,    4740,
"Mother tongue","              Croatian",,    1090,,     540,,     545,,   31875,,   15460,,   16410,
"Mother tongue","              Czech",,     235,,     115,,     115,,   10670,,    4930,,    5740,
"Mother tongue","              Macedonian",,     315,,     150,,     160,,   15635,,    7470,,    8165,
"Mother tongue","              Polish",,    4595,,    2170,,    2425,,  121075,,   54675,,   66405,
"Mother tongue","              Russian",,     675,,     295,,     385,,  101100,,   45630,,   55470,
"Mother tongue","              Serbian",,     500,,     250,,     250,,   41740,,   20585,,   21150,
"Mother tongue","              Serbo-Croatian",,      65,,      30,,      35,,    4875,,    2310,,    2570,
"Mother tongue","              Slovak",,     200,,      90,,     110,,   10280,,    4710,,    5565,
"Mother tongue","              Slovene (Slovenian)",,     160,,      75,,      85,,    6740,,    2995,,    3745,
"Mother tongue","              Ukrainian",,     425,,     185,,     240,,   40375,,   17760,,   22610,
"Mother tongue","              Slavic languages; n.i.e.",,      10,,       5,,       5,,    1310,,     670,,     635,
"Mother tongue","          Celtic languages",,      30,,      10,,      10,,    1110,,     505,,     605,
"Mother tongue","            Scottish Gaelic",,      15,,       5,,      10,,     450,,     210,,     240,
"Mother tongue","            Welsh",,       5,,       5,,       0,,     435,,     180,,     260,
"Mother tongue","            Celtic languages; n.i.e.",,       5,,       5,,       0,,     225,,     120,,     110,
"Mother tongue","          Germanic languages",,    2550,,    1105,,    1445,,  200640,,   94475,,  106165,
"Mother tongue","            Afrikaans",,      25,,      10,,      15,,    2295,,    1125,,    1170,
"Mother tongue","            Danish",,      90,,      40,,      50,,    4265,,    2010,,    2250,
"Mother tongue","            Dutch",,     915,,     370,,     545,,   51720,,   24875,,   26840,
"Mother tongue","            Frisian",,      35,,      10,,      25,,    1240,,     630,,     620,
"Mother tongue","            German",,    1425,,     655,,     770,,  131525,,   61520,,   70005,
"Mother tongue","            Icelandic",,       5,,       0,,       0,,     210,,     100,,     110,
"Mother tongue","            Norwegian",,      10,,       5,,      10,,     940,,     405,,     540,
"Mother tongue","            Swedish",,      30,,      15,,      10,,    2395,,    1040,,    1350,
"Mother tongue","            Vlaams (Flemish)",,      20,,      10,,      15,,    2150,,     925,,    1225,
"Mother tongue","            Yiddish",,       0,,       5,,       0,,    3735,,    1765,,    1970,
"Mother tongue","            Germanic languages; n.i.e.",,       0,,       0,,       0,,     170,,      80,,      85,
"Mother tongue","          Greek",,     745,,     370,,     380,,   55415,,   27305,,   28110,
"Mother tongue","          Indo-Iranian languages",,  172600,,   87030,,   85565,,  707845,,  357350,,  350495,
"Mother tongue","            Indo-Aryan languages",,  168560,,   84980,,   83580,,  565600,,  285720,,  279875,
"Mother tongue","              Bengali",,    2615,,    1300,,    1315,,   46810,,   23615,,   23195,
"Mother tongue","              Gujarati",,   16750,,    8370,,    8380,,   76675,,   38740,,   37940,
"Mother tongue","              Hindi",,   14070,,    6945,,    7125,,   58735,,   29805,,   28930,
"Mother tongue","              Kashmiri",,      50,,      25,,      25,,     345,,     170,,     175,
"Mother tongue","              Konkani",,     270,,     125,,     145,,    2510,,    1195,,    1315,
"Mother tongue","              Marathi",,     675,,     340,,     340,,    5490,,    2805,,    2685,
"Mother tongue","              Nepali",,    1090,,     540,,     545,,    7870,,    3915,,    3960,
"Mother tongue","              Oriya (Odia)",,      65,,      35,,      35,,     715,,     380,,     335,
